"Name","Realms","Set","Types","Text","Archetype","Flavortext","Power","Costs","Rarity","CardID","Elemental","Nature","Void","Mortal","Divine","Cost_Sum","Prompt","Artwork 1","Artwork 2","Artwork 3","Artwork 4","Artwork 5","Artwork 6","Artwork 7","Artwork 8","Artwork 9","Artwork 10"
"Nimbus Claw","Elemental","0","Animal Hunter","Conquer: Glimpse 3.","Aggro ","Lead","2","E, ?","Common","","Animal Hunter","","","","","2","","","","","","","","","","",""
"Omen Firefly","Elemental","2","Insect","Start of your Turn: You may bury this to obscure 2.","Control ","Obscure","1","E","Common","","Insect","","","","","1","","","","","","","","","","",""
"Pixie Summoner","Elemental","2","Human Wizard","Deploy: Unleash <E><E>: Move an adjacent Unit. Gain Taunt.","Ramp Move","Unleash","4","E, ?, ?, ?","Common","","Human Wizard","","","","","4","","","","","","","","","","",""
"Pyretic Pet","Elemental","2","Dragon Wizard","Ally of Wizard: You may return the Ally to your Hand to deploy a Unit from your Hand.","Wizard Copy ","""'This is why we can't have nice things,' I muttered as the tapestries turned to ashes. My dragon's purr was the only reply, pleased with its redecoration.""","3","E, E, ?","Rare","","Dragon Wizard","","","","","3","","","","","","","","","","",""
"Raijin","Elemental","1","Spirit Dragon","Deploy: Copy the 'Unleash' ability of each Unit.","Ramp Copy ","Where black clouds gather, his presence is near, the air crackling with the energy of his blue lightning.","7","E, E, E, ?, ?, ?","Rare","","Spirit Dragon","","","","","6","chinese dragon, ephemeral, made out of steam, cloud being, shapeless, gaseous, lightning, thunderstorm, white pelt, rushing, snakelike","https://alpha.midjourney.com/jobs/1c379fb0-c7fe-4bce-a2e2-c1046dca0a59?index=3","https://alpha.midjourney.com/jobs/1c379fb0-c7fe-4bce-a2e2-c1046dca0a59?index=1","https://alpha.midjourney.com/jobs/1c379fb0-c7fe-4bce-a2e2-c1046dca0a59?index=0","https://alpha.midjourney.com/jobs/032d003e-cfc5-416a-b659-1bdded298c0e?index=1","https://alpha.midjourney.com/jobs/de56f839-6491-46cf-880d-6d928a2517da?index=0","https://alpha.midjourney.com/jobs/83e9cfe5-7b3e-4733-9009-d3e420db215a?index=1","https://alpha.midjourney.com/jobs/5764c6a2-ac2a-45d1-bd44-3056e5b71fde?index=3","https://alpha.midjourney.com/jobs/dabe2c88-7609-4d23-9be4-b6d03f5043ec?index=2","https://alpha.midjourney.com/jobs/22f743bd-9c45-49eb-bcae-584391aba2aa?index=1","https://alpha.midjourney.com/jobs/16ee0dc4-08e6-49e0-be6c-5041c7b5d4f9?index=1"
"Raijin's Familiar","Elemental","1","Spirit","Deploy: Unleash <E><E><E>: You may move an adjacent Unit to any empty Slot on the Board.","Ramp Move","Unleash","3","E, ?, ?, ?","Uncommon","","Spirit","","","","","4","small chinese snake, ephemeral, made out of steam, lightning, thunderstorm, white pelt, rushing, snakelike","https://alpha.midjourney.com/jobs/99049fea-fc5d-4752-b9db-6d8c91ccc8ae?index=2","https://alpha.midjourney.com/jobs/a57b5b64-f263-4fdf-af6b-1b93580bfe5e?index=0","https://alpha.midjourney.com/jobs/7fc25a68-b33f-47f1-a6ec-9553717b1c97?index=0","https://alpha.midjourney.com/jobs/7fc25a68-b33f-47f1-a6ec-9553717b1c97?index=1","https://alpha.midjourney.com/jobs/9f59a1ed-24af-4d99-acaa-6a2a05df2427?index=3","https://alpha.midjourney.com/jobs/8572f917-df31-4408-8707-1d30d6ca5130?index=2","https://alpha.midjourney.com/jobs/fb929c6c-57e6-433a-a266-d6503efa9f59?index=3","https://alpha.midjourney.com/jobs/2ddb8064-c0f9-4c6e-bd7c-5450e649e0ba?index=1","https://alpha.midjourney.com/jobs/2ddb8064-c0f9-4c6e-bd7c-5450e649e0ba?index=0","https://alpha.midjourney.com/jobs/c9877abe-5367-4550-95bd-009c5ca1c395?index=2"
"Red Crusader","Elemental","2","Warrior","Whenever an enemy Unit of a different Realm is deployed adjacently, gain +1 Power.","","Crusader","2","E, ?","Common","","Warrior","","","","","2","","","","","","","","","","",""
"Roughlands Scourge","Elemental","1","Dragon Spirit","Deploy: Gain Fear.","","Where its shadow falls, terror takes root, a draconic tyrant of the barren lands.","4","E, ?, ?, ?","Common","","Dragon Spirit","","","","","4","dragon, red body, black quills with white tips, wasteland, porcupine, cruel, fierce","https://alpha.midjourney.com/jobs/30dad8d4-0f43-43a0-b5ad-94bc8b2c85d6?index=2","https://alpha.midjourney.com/jobs/6cad6adc-2697-4145-bdf0-efa0bf788436?index=2","https://alpha.midjourney.com/jobs/6cad6adc-2697-4145-bdf0-efa0bf788436?index=0","https://alpha.midjourney.com/jobs/3583175b-766d-4e6f-b226-cb8e97cd3444?index=2","https://alpha.midjourney.com/jobs/9d3996dd-4cd9-4c61-9f0b-73b38822ab56?index=1","https://alpha.midjourney.com/jobs/26ae93ba-7660-44de-bc98-ff1f7b0710bb?index=0","https://alpha.midjourney.com/jobs/add90753-1409-4816-a77b-7200b76c544f?index=3","https://alpha.midjourney.com/jobs/dc135f3d-8b66-4450-857e-ed4b64a3e949?index=1","https://alpha.midjourney.com/jobs/f552819f-bae0-4fdc-aec9-3c948fadca96?index=0","https://alpha.midjourney.com/jobs/93fb8cdb-1f21-49e7-be26-dc8ba099f499?index=3"
"Runecursed Wyvern","Elemental","1","Crystalblight? Dragon Wizard","Deploy: Bury a friendly Crystal.","Control Empty-Crystal","Empty Crystal","6","E, E, ?, ?","Uncommon","","Crystalblight? Dragon Wizard","","","","","4","runecursed wyvern, blind, no eyes, black faceplate, drawing energy from the earth, burning runes etched into its scales","https://alpha.midjourney.com/jobs/304afcfd-7894-408f-9075-b9665b0da9bb?index=1","https://alpha.midjourney.com/jobs/3f700745-93e9-491e-b302-0f3b8129cd3a?index=3","https://alpha.midjourney.com/jobs/efc96ed0-d87b-4d29-bb86-f29795728bf8?index=2","https://alpha.midjourney.com/jobs/b6935539-efed-401f-850a-d485cb53a209?index=2","https://alpha.midjourney.com/jobs/b1f8f3d5-445f-4c75-8c69-dc3c00dd6a2a?index=3","https://alpha.midjourney.com/jobs/b1f8f3d5-445f-4c75-8c69-dc3c00dd6a2a?index=1","","","",""
"Sand Witch","Elemental","2","Human Wizard","Ascend: Elemental.","Elemental Ascend ","Ascend","1","E","Common","","Human Wizard","","","","","1","","","","","","","","","","",""
"Shardhorde Galewhelp","Elemental","0","Dragon","Deploy: Unleash <E><E><E>: You may crystallize this and deploy another friendly Dragon Crystal into this Slot.","Dragon Ramp ","In its youth, a mere gust; in its fury, a tempest – such is the nature of the Shardhorde's child.","3","E, ?, ?","Common","","Dragon","","","","","3","","","","","","","","","","",""
"Shardhorde Leviathan","Elemental","1","Dragon","","","Rising from oceanic depths, its crystalline form is a monolith of untamed power, a behemoth that knows no bounds.","9","E, E, E, ?, ?, ?, ?","Common","","Dragon","","","","","7","shardhorde leviathan, lavender colored, giant gemstone crusted dragon, bellowing, towering mountains, wingless, serpentine, piercing through clouds, foggy","https://alpha.midjourney.com/jobs/f04b4fbf-83ad-4f50-9c3a-68843e69ef11?index=2","https://alpha.midjourney.com/jobs/23732ab2-74d0-4739-baaf-5e6c23e8873a?index=0","https://alpha.midjourney.com/jobs/cb44e85d-870b-4bc6-8948-450c772daf5c?index=0","https://alpha.midjourney.com/jobs/258f8be4-8fc8-47e9-9423-4d7e9f7e209b?index=0","https://alpha.midjourney.com/jobs/97987280-b216-408a-9bcb-dd348cfcb803?index=1","https://alpha.midjourney.com/jobs/736a8fe4-c031-4266-a180-8d5fa8d7a20c?index=3","https://alpha.midjourney.com/jobs/f4364281-c341-4325-823b-cc159f62e3fa?index=3","https://alpha.midjourney.com/jobs/f4364281-c341-4325-823b-cc159f62e3fa?index=1","https://alpha.midjourney.com/jobs/3ffc8199-7676-44a0-b357-0e6a826b2531?index=1","https://alpha.midjourney.com/jobs/c0768680-bd4c-4545-846f-002afd6a854b?index=0"
"Shifting Sands","Elemental","1","Spirit","Ambush: This Turn, a Unit was deployed adjacently. Unearth: Move an adjacent Unit.","Unearth Move","","3","E, ?, ?, ?","Common","","Spirit","","","","","4","shifting sands, mystical, ephemeral energies, dustdevil, desert elemental, whirlwind","https://alpha.midjourney.com/jobs/8b1af36f-4004-4f76-8321-39eadf6994de?index=1","https://alpha.midjourney.com/jobs/6b2dd4db-47bc-4351-b9cb-56165501015d?index=0","https://alpha.midjourney.com/jobs/04b6c714-4150-4b67-bc7b-3b77d214c80e?index=1","https://alpha.midjourney.com/jobs/fef152fe-a54f-4993-8c0b-bdc6b255ff50?index=1","https://alpha.midjourney.com/jobs/a3b699ae-45ef-4e90-9cb6-6448c1dd6ef3?index=3","https://alpha.midjourney.com/jobs/a3b699ae-45ef-4e90-9cb6-6448c1dd6ef3?index=2","https://alpha.midjourney.com/jobs/f4b87c3a-3e3c-48fa-b94a-c0514613a2cd?index=3","https://alpha.midjourney.com/jobs/cea0e01e-1930-45b5-b5c8-3ad52ddb3142?index=3","https://alpha.midjourney.com/jobs/ca73b5bd-6fc1-4339-9285-ae03c13a5f5d?index=0","https://alpha.midjourney.com/jobs/f43fb0f9-219d-46ea-84e7-cebd02ca67fd?index=3"
"Skulloath Lootclaimer","Elemental","1","Human Hunter","Deploy: Bury a Crystal.","Control Empty-Crystal","Empty Crystal","4","E, E, ?, ?, ?","Uncommon","","Human Hunter","","","","","5","human mongolian raider, skull-oath, looting, raiding, stealing gold","https://alpha.midjourney.com/jobs/b782234a-ae27-4ab3-a874-11519512ecce?index=1","https://alpha.midjourney.com/jobs/bace0219-18ab-4fad-b1cf-6dd7f636ba09?index=3","https://alpha.midjourney.com/jobs/bace0219-18ab-4fad-b1cf-6dd7f636ba09?index=1","https://alpha.midjourney.com/jobs/48fb748c-ced1-4a11-b902-08569b23ea3e?index=3","https://alpha.midjourney.com/jobs/648f33e0-f155-4776-b3ef-cb6a2da47ad2?index=0","https://alpha.midjourney.com/jobs/88722dbd-81e5-4a88-b7b1-4d119407e4eb?index=2","https://alpha.midjourney.com/jobs/ac379b8f-0976-49e8-9984-afd4fa85d72d?index=2","https://alpha.midjourney.com/jobs/ac379b8f-0976-49e8-9984-afd4fa85d72d?index=0","https://alpha.midjourney.com/jobs/ce81bdef-692d-43ea-9dce-a4b313702bd0?index=2","https://alpha.midjourney.com/jobs/92e4fd9a-ec61-456e-ae1a-ccf89544238d?index=1"
"Sparkwielder","Elemental","2","Dragon Wizard","Deploy: Reveal the top Card with an 'Unleash' ability from your Deck. Copy its 'Unleash' ability, then draw that Card.","Ramp Copy ","Unleash","4","E, E, ?, ?, ?","Rare","","Dragon Wizard","","","","","5","","","","","","","","","","",""
"Spell Cat","Elemental","1","Animal Wizard","Whenever a friendly Wizard is deployed adjacently, swap this with that Unit and give that Unit +2 Power.","Wizard ","Even a sorcerer's cold heart can't escape the affection of a black furball.","2","E, ?","Uncommon","","Animal Wizard","","","","","2","spell cat, wizard cat sitting infront of a burning bookcase, magical cat, eyes reflecting fire","https://alpha.midjourney.com/jobs/23c28003-cb9d-4252-b47e-eb31b79c4746?index=3","https://alpha.midjourney.com/jobs/c014fa78-9b56-4e92-9380-05f3c1bc63f2?index=3","https://alpha.midjourney.com/jobs/c014fa78-9b56-4e92-9380-05f3c1bc63f2?index=0","https://alpha.midjourney.com/jobs/ea69db27-0094-46a2-957d-df9c6587cd8f?index=1","https://alpha.midjourney.com/jobs/d8a56be5-0fe5-434b-a77a-b6146873ea1a?index=3","https://alpha.midjourney.com/jobs/d8a56be5-0fe5-434b-a77a-b6146873ea1a?index=0","","","",""
"Stormbringer","Elemental","2","Spirit","Deploy: Put an adjacent enemy Unit on the bottom of your Opponent's Deck. Move the top Card of your Opponent's Deck into that Slot.","Move","In his grasp, the calmest breeze becomes a maelstrom, a whirlwind of chaos at his command","5","E, E, ?, ?, ?, ?","Rare","","Spirit","","","","","6","","","","","","","","","","",""
"Stormlash","Elemental","2","Dragon Hunter","Deploy: Unleash <E><E><E>: You may move all adjacent enemy Units.","Ramp Move","He is the tempest incarnate, a draconic force that reshapes landscapes with the mere beat of his wings.","4","E, ?, ?, ?","Uncommon","","Dragon Hunter","","","","","4","","","","","","","","","","",""
"Stormworn Horn","Elemental","2","Dinosaur","Ally of Elemental: Draw three Cards. At the End of this Turn, put three Cards from your Hand at the bottom of your Deck.","Elemental ","Rare is the sight of the horned earth-digger, a creature whose very existence challenges our understanding of the natural world. It uses its horn in a manner most ingenious, excavating the ground for hidden morsels.","3","E, ?, ?, ?","Uncommon","","Dinosaur","","","","","4","","","","","","","","","","",""
"Tectonic Shifter","Elemental","1","Demon Dinosaur","Deploy: Gain Fear. Return an adjacent Unit to its Owner's Hand.","Copy ","Bounce","3","E, E, ?, ?, ?","Rare","","Demon Dinosaur","","","","","5","tectonic shifter, groudon","https://alpha.midjourney.com/jobs/04e07353-17ab-4846-84bc-818bc402f09d?index=1","https://alpha.midjourney.com/jobs/e8e96f76-94bd-41ae-b1bd-4ca96aebdd1e?index=3","https://alpha.midjourney.com/jobs/ee08debf-6dfa-4c1a-b68d-af2815e27ecd?index=0","https://alpha.midjourney.com/jobs/a5b23374-c9e0-4cc3-ac9e-7cc693ab07b6?index=1","https://alpha.midjourney.com/jobs/da48772a-b4d4-44f8-8d55-428c4b7750df?index=1","","","","",""
"The Culling Claw","Elemental","2","Demon Dragon","Crystallize: Gain Crystalborn. Whenever a Common Unit is deployed adjacently, bury it and gain its Power.","Ramp Control ","","3","E, E, ?, ?","Rare","","Demon Dragon","","","","","4","","","","","","","","","","",""
"Thunderfox","Elemental","2","Animal Spirit","Start of your Turn: You may bury this to give an adjacent friendly Unit +2 Power.","Control ","Elusive as a spark in the storm, training it as a pet is a quest akin to capturing lightning itself.","3","E, ?, ?","Common","","Animal Spirit","","","","","3","","","","","","","","","","",""
"Torii Spirit","Elemental","1","Construct Spirit","Deploy: Unleash <E><E><E>: Gain Fear and Ward.","Ramp ","Unleash","3","E, ?, ?","Common","","Construct Spirit","","","","","3","torii spirit, spirit sitting ontop of a torii gate, yokai, ghost, ethereal, see-through, gentle, benevolent, cute, adorable, colorful","https://alpha.midjourney.com/jobs/855d9ad2-60fa-4317-90d5-dde695aa3863?index=2","https://alpha.midjourney.com/jobs/ef31c8de-f61e-4972-86e9-aa9f1831afd5?index=0","https://alpha.midjourney.com/jobs/8785718a-3cef-4d6b-adf4-3f611a3b965e?index=2","https://alpha.midjourney.com/jobs/f0a7e593-e8a3-49a4-9357-69927b40e0a8?index=1","https://alpha.midjourney.com/jobs/f0a7e593-e8a3-49a4-9357-69927b40e0a8?index=0","https://alpha.midjourney.com/jobs/677914ad-f8cb-4855-b453-f47da8640844?index=0","https://alpha.midjourney.com/jobs/0c2fcc58-1cd5-4e2c-9953-06ae99527acc?index=3","https://alpha.midjourney.com/jobs/cb83f03b-5441-4ab6-acd4-d6c23cfbf1b0?index=3","https://alpha.midjourney.com/jobs/cb83f03b-5441-4ab6-acd4-d6c23cfbf1b0?index=1","https://alpha.midjourney.com/jobs/11cea0b5-15f6-46ea-9c98-85147c5d0c1d?index=2"
"Twin Thundertail","Elemental","2","Dragon Spirit","Ambush: A friendly Unit in this Lane unleashed this Turn. Unearth: Copy the 'Unleash' Ability of a friendly Unit in this Lane.","Unearth Ramp Copy ","Unleash","4","E, ?, ?, ?, ?","Uncommon","","Dragon Spirit","","","","","5","","","","","","","","","","",""
"Vengeful Gust","Elemental","2","Spirit","Deploy: Bury a friendly Unit with the lowest Power.","Control ","","5","E, ?","Common","","Spirit","","","","","2","","","","","","","","","","",""
"Vermillion Firebird","Elemental","1","Animal","When this gets buried, you may bury a friendly Crystal to unearth this.","Unearth Control ","In its mystical flight, neither blade nor spell can quench its eternal fire.","6","E, E, E, ?, ?","Uncommon","","Animal","","","","","5","vermillion firebird, aflame, on fire","https://alpha.midjourney.com/jobs/855584b6-ff81-449c-bfc8-776b89e2e1b6?index=2","https://alpha.midjourney.com/jobs/855584b6-ff81-449c-bfc8-776b89e2e1b6?index=3","https://alpha.midjourney.com/jobs/8267de13-464b-4475-8b89-635cac0d70bd?index=0","https://alpha.midjourney.com/jobs/855584b6-ff81-449c-bfc8-776b89e2e1b6?index=0","https://alpha.midjourney.com/jobs/ce13cd47-a205-4d28-96b0-bdf906fae89f?index=0","https://alpha.midjourney.com/jobs/a18746cf-975e-483a-9c0c-94c134cf6af2?index=3","https://alpha.midjourney.com/jobs/a18746cf-975e-483a-9c0c-94c134cf6af2?index=1","","",""
"Volcano Embodiment","Elemental","1","Spirit","","","Born from molten fury, it stands as both creator and destroyer of lands.","5","E, E, ?, ?","Common","","Spirit","","","","","4","volcano embodiment, volcano elemental, made of lava and obsidian, dynamic, action shot","https://alpha.midjourney.com/jobs/b3f1d5b4-d271-4bb7-9615-dec247ec2937?index=0","https://alpha.midjourney.com/jobs/13f74e45-15bf-4673-a15e-3672c00526da?index=2","https://alpha.midjourney.com/jobs/710d0cf8-ce38-4aa4-b3f2-876f350c95e5?index=1","https://alpha.midjourney.com/jobs/670cd204-5704-4f12-9125-5eb354177f5f?index=2","https://alpha.midjourney.com/jobs/7ab22aed-daaa-486c-bcb0-51549f984fe3?index=0","https://alpha.midjourney.com/jobs/22bb3e8d-5c52-4c44-8587-02c99977f143?index=0","https://alpha.midjourney.com/jobs/eca24b96-706c-4dc3-98e0-b7e7167890f1?index=1","https://alpha.midjourney.com/jobs/c01595f3-8df5-40fb-ad79-c4ab3f4993bf?index=3","https://alpha.midjourney.com/jobs/c57f1fec-7402-4dfa-a0da-3df1bc5a18a7?index=2","https://alpha.midjourney.com/jobs/89af2c6d-773c-4b37-a02a-c29797ab5507?index=2"
"Windkite Acolyte","Elemental","1","Human Wizard","Deploy: You may swap this with an adjacent friendly Unit and gain +2 Power.","","Soaring on ancient breezes, this acolyte wields the wisdom of the wind.","2","E, ?, ?, ?","Common","","Human Wizard","","","","","4","bhuddist monk, riding a huge kite, flying through the sky, kite attached to hís back","https://alpha.midjourney.com/jobs/ec1fb5cf-b226-482a-9fd2-005d6f927846?index=1","https://alpha.midjourney.com/jobs/c502c751-ced3-4cb3-aa77-ce7cf3c560d4?index=0","https://alpha.midjourney.com/jobs/15eb18a9-adcc-4ad5-bb1a-b9ca187fa7e5?index=1","https://alpha.midjourney.com/jobs/91bb5265-1010-4c14-8a17-c124ec7328be?index=3","https://alpha.midjourney.com/jobs/3459e7cd-50f2-4130-be4c-42546280c0e7?index=3","https://alpha.midjourney.com/jobs/f6913507-2389-4765-a6a4-189bde5ce495?index=1","https://alpha.midjourney.com/jobs/f6913507-2389-4765-a6a4-189bde5ce495?index=2","https://alpha.midjourney.com/jobs/1be84c96-df08-4398-88f9-09e5ad8ff402?index=2","https://alpha.midjourney.com/jobs/59d1a1e1-529a-4cc6-b261-fdc197b29a2b?index=1","https://alpha.midjourney.com/jobs/33065fbd-b99a-477c-aeda-1e82ea951a22?index=3"
"Cinderguard Emberblade","Elemental Mortal","1","Bannerbearer Human Warrior","","","Armed with a blade of searing flame, his every strike ignites the battleground, a beacon of fiery determination.","2","E, M","Common","","Bannerbearer Human Warrior","","","Bannerbearer Human Warrior","","2","cinderguard emberblade, red hood roman, banner-bearer, bannerbearer, banner bearer, carrying a banner","https://alpha.midjourney.com/jobs/f95877ad-f1f9-416e-ac05-6e7b4ad534ee?index=2","https://alpha.midjourney.com/jobs/ce3cd5be-146d-4747-a725-96d02fce6988?index=3","https://alpha.midjourney.com/jobs/3d36ab7a-cfa0-4e3c-835e-4519c7bd02e5?index=2","https://alpha.midjourney.com/jobs/0c8ecc9c-0eba-4e1f-88ef-eb8a6b5bb902?index=0","https://alpha.midjourney.com/jobs/915e002d-0994-4e3b-9b5b-10849e3c35ad?index=2","https://alpha.midjourney.com/jobs/eea88919-f1b3-40c0-9f43-d0e3f3705e14?index=2","https://alpha.midjourney.com/jobs/727e14da-bc4a-4671-9e13-4f06e7007152?index=0","https://alpha.midjourney.com/jobs/24410310-250b-4dfc-957c-f04fe0d1851b?index=0","https://alpha.midjourney.com/jobs/49af1a65-37b2-43e7-abfb-fec1ef5ae6d3?index=2","https://alpha.midjourney.com/jobs/c49fa673-bcd1-49dc-a65d-b262aa8d349c?index=3"
"Dragon Rider","Elemental Mortal","1","Human Dragon","Deploy: Copy the Ability of an adjacent Dragon Unit or Human Unit.","Dragon Human Copy ","Together, they redefine the possible, her spirit and his fire entwined in flight.","2","E, M, ?, ?","Uncommon","","Human Dragon","","","Human Dragon","","4","female dragon rider, red sash, asian medieval pirate, sitting on a saddle, huge chinese dragon crane","https://alpha.midjourney.com/jobs/f29821d3-a78b-46a9-ab7b-9b476d6ecfd7?index=1","https://alpha.midjourney.com/jobs/7f15e033-4d9d-48a2-9a39-7197c3b9bf07?index=3","https://alpha.midjourney.com/jobs/a6b8108d-1bb5-42d2-a7a0-28095eb3d2c2?index=2","https://alpha.midjourney.com/jobs/60403217-9653-4c7f-8bd1-52389abddd0b?index=2","https://alpha.midjourney.com/jobs/35a72dcd-bf6d-4211-a3ec-b4a56e9266de?index=3","https://alpha.midjourney.com/jobs/64811c7a-9306-4518-8d43-b94ca602125b?index=2","https://alpha.midjourney.com/jobs/4f36ce57-0d46-485b-824d-f5324b716d84?index=1","https://alpha.midjourney.com/jobs/b7fa891c-92aa-4309-9f37-1140cd8df7b3?index=2","https://alpha.midjourney.com/jobs/64a2413c-9261-4124-ba7d-e64c2319aae0?index=0","https://alpha.midjourney.com/jobs/95d4bd24-c3f9-417f-be00-e2b02341a172?index=0"
"Portalrunner","Elemental Mortal","2","Human Wizard","Deploy: You may swap this with another friendly Wizard Unit. Both gain +2 Power.","Wizard ","Master of spatial rifts, he strides through worlds unseen, his power a dance with the fabric of reality.","3","E, M, ?, ?","Uncommon","","Human Wizard","","","Human Wizard","","4","","","","","","","","","","",""
"Starfall Shaman","Elemental Mortal","1","Human Wizard","Ritual: Glimpse 2 and draw 2 Cards. ","Unearth ","Guided by ancient constellations, he beckons knowledge from the heavens, a nod to the legendary magic of old.","5","E, E, M, ?, ?","Rare","","Human Wizard","","","Human Wizard","","5","starfall shaman, aztec, mesoamerican, summoning a meteor, on an aztec pyramid, purple, colorful feather headdress","https://alpha.midjourney.com/jobs/0d462342-adfb-4bc1-8852-2f568fbc9684?index=2","https://alpha.midjourney.com/jobs/eb6b6ed8-09d8-4cb7-8e72-89daeeb5ad45?index=1","https://alpha.midjourney.com/jobs/0bfb1ddb-5317-44ca-ac28-18bec4484bb2?index=2","https://alpha.midjourney.com/jobs/fc65d230-0b7a-4bbd-9653-6fa105e5bcec?index=3","https://alpha.midjourney.com/jobs/48703433-d069-4669-a233-4fb736b88afa?index=2","https://alpha.midjourney.com/jobs/48703433-d069-4669-a233-4fb736b88afa?index=0","https://alpha.midjourney.com/jobs/3500932c-0e0c-496e-8393-7f54603731c9?index=3","https://alpha.midjourney.com/jobs/888400b6-fc24-4382-9b4f-cb536d1c6259?index=2","",""
"Steelclaw Veterans","Elemental Mortal","2","Dragon Warrior","Conquer: Bury another Unit with the lowest Power in each of these Lanes.","Control Aggro ","Clad in scars and armor alike, these dragonborn define the fine line between ferocity and valor.","6","E, E, M, M, ?, ?","Rare","","Dragon Warrior","","","Dragon Warrior","","6","","","","","","","","","","",""
"Crazed Hermit","Elemental Nature","2","Human Plant","Deploy: Copy the 'Crystallize' ability of a friendly Crystal.","Ramp Copy ","A hermit no longer just a man, but a part of the forest's soul, understanding every rustle, every ripple, every breath of the wild.","5","E, N, N, ?","Uncommon","","Human Plant","Human Plant","","","","4","","","","","","","","","","",""
"Eons-old Dragon","Elemental Nature","1","Dragon Plant","Deploy: All other Elemental Unit and Nature Units in this Lane gain +3 Power.","Elemental Nature ","In its slumber, time weaved the wilderness around it, a dragon as ancient as the forest it now embodies.","6","E, E, N, N, ?, ?","Rare","","Dragon Plant","Dragon Plant","","","","6","","https://alpha.midjourney.com/jobs/ade40824-39ca-4001-a6f9-b17abaa7f8c9?index=2","https://alpha.midjourney.com/jobs/237069bf-4281-4ab7-875e-331a4121cc5c?index=2","https://alpha.midjourney.com/jobs/b817370e-a391-4a6b-9688-f381c88b69b0?index=2","https://alpha.midjourney.com/jobs/1147f4d1-0ebc-4af6-a726-d02c68d60b73?index=0","https://alpha.midjourney.com/jobs/1147f4d1-0ebc-4af6-a726-d02c68d60b73?index=2","","","","",""
"Lurking Canopystomper","Elemental Nature","0","Dinosaur Warrior","Deploy: If there is no adjacent friendly Unit with 5 or more Power, bury this.","Control ","","8","E, N, ?, ?, ?","Uncommon","","Dinosaur Warrior","Dinosaur Warrior","","","","5","","","","","","","","","","",""
"Resourceful Poacher","Elemental Nature","2","Human Hunter","Ally of Animal, Dinosaur or Dragon: Return an adjacent Unit to its Owner's Hand and draw a Card.","Dragon Animal Dinosaur Copy ","Dinosaurs","4","E, E, N, ?, ?","Uncommon","","Human Hunter","Human Hunter","","","","5","","","","","","","","","","",""
"Shardhorde Crystalfang","Elemental Nature","1","Animal Bannerbearer Hunter","","","Emerging from the heart of the earth, its malachite form gleams, a predator sculpted from nature's deepest treasures.","2","E, N","Common","","Animal Bannerbearer Hunter","Animal Bannerbearer Hunter","","","","2","","","","","","","","","","",""
"The Skyshrieker","Elemental Nature","2","Dinosaur Warrior","Deploy: Gain Fear. You may move an adjacent Unit.","Move","In times of crisis, his cry pierces the heavens, a sound that spells relief for the endangered and doom for their foes.","5","E, E, N, ?, ?","Uncommon","","Dinosaur Warrior","Dinosaur Warrior","","","","5","","","","","","","","","","",""
"Tidecrasher","Elemental Nature","1","Dragon Spirit","Deploy: Gain Fear and +1 Power for each adjacent empty Slot.","","He glides beneath the waves, a leviathan of legend, the subject of sailors' prayers and tales.","5","E, E, N, ?, ?","Uncommon","","Dragon Spirit","Dragon Spirit","","","","5","","","","","","","","","","",""
"Bringer of Bad Omens","Elemental Void","2","Spirit Wizard","Deploy: Obscure 2. Glimpse 2.","","Obscure","0","E, V","Uncommon","","Spirit Wizard","","Spirit Wizard","","","2","","","","","","","","","","",""
"Gaunt Visitation","Elemental Void","2","Undead Spirit","Ambush: A Spirit Unit was deployed adjacently this Turn. Unearth: Adjacent friendly Spirit Units gain +2 Power and Fear.","Spirit Unearth ","Spirits","3","E, V, ?, ?, ?","Uncommon","","Undead Spirit","","Undead Spirit","","","5","","","","","","","","","","",""
"Lightning Manticore","Elemental Void","0","Demon Spirit","Ritual: Bury an enemy Crystal.","Unearth Control Empty-Crystal","It prowls the storm-laden skies, a beast of electric dread, its allegiance as dark as the clouds it rides.","7","E, E, V, ?, ?, ?","Uncommon","","Demon Spirit","","Demon Spirit","","","6","","","","","","","","","","",""
"Pyroclastic Zombie","Elemental Void","1","Undead","Ambush: The Opponent conquered this Lane this Turn.","Unearth Aggro ","Born from flames and madness, he lumbers through the shadows, an urban legend made flesh and fire.","5","E, V, ?, ?, ?","Uncommon","","Undead","","Undead","","","5","","","","","","","","","","",""
"Raging Minotaur","Elemental Void","2","Animal Demon","Whenever an enemy Unit is deployed adjacently, gain +2 Power. Deploy: Gain Taunt.","","Trapped between man and monster, his every step is a thunder of rage against a fate he never chose.","4","E, V, ?, ?, ?","Uncommon","","Animal Demon","","Animal Demon","","","5","","","","","","","","","","",""
"Skulloath Marauder","Elemental Void","1","Bannerbearer Undead Warrior","","","Bound by dark pacts and whispered curses, he plunders, leaving only desolation in his wake.","2","E, V","Common","","Bannerbearer Undead Warrior","","Bannerbearer Undead Warrior","","","2","","","","","","","","","","",""
"Venomshade Lamia","Elemental Void","2","Animal Warrior","Conquer: Draw Cards until you have as many Cards in Hand as your Opponent.","Aggro ","In the shadow of her coils, lies a toxic allure, as deadly as it is beguiling.","5","E, V, ?, ?, ?","Uncommon","","Animal Warrior","","Animal Warrior","","","5","","","","","","","","","","",""
