Name,Realms,Set,Types,Text,Flavortext,Power,Costs,Rarity,Prompt,Artwork 1,Artwork 2,Artwork 3,Artwork 4,Artwork 5,Artwork 6,Artwork 7,Artwork 8,Artwork 9,Artwork 10
Raijin's Familiar,Elemental,1,Spirit,Deploy: Unleash <E><E><E>: You may move an adjacent Unit to any empty Slot on the Board.,Unleash,3,"E, ?, ?, ?",Uncommon,"small chinese snake, ephemeral, made out of steam, lightning, thunderstorm, white pelt, rushing, snakelike",https://alpha.midjourney.com/jobs/99049fea-fc5d-4752-b9db-6d8c91ccc8ae?index=2,https://alpha.midjourney.com/jobs/a57b5b64-f263-4fdf-af6b-1b93580bfe5e?index=0,https://alpha.midjourney.com/jobs/7fc25a68-b33f-47f1-a6ec-9553717b1c97?index=0,https://alpha.midjourney.com/jobs/7fc25a68-b33f-47f1-a6ec-9553717b1c97?index=1,https://alpha.midjourney.com/jobs/9f59a1ed-24af-4d99-acaa-6a2a05df2427?index=3,https://alpha.midjourney.com/jobs/8572f917-df31-4408-8707-1d30d6ca5130?index=2,https://alpha.midjourney.com/jobs/fb929c6c-57e6-433a-a266-d6503efa9f59?index=3,https://alpha.midjourney.com/jobs/2ddb8064-c0f9-4c6e-bd7c-5450e649e0ba?index=1,https://alpha.midjourney.com/jobs/2ddb8064-c0f9-4c6e-bd7c-5450e649e0ba?index=0,https://alpha.midjourney.com/jobs/c9877abe-5367-4550-95bd-009c5ca1c395?index=2
Twin Thundertail,Elemental,2,Dragon Spirit,Ambush: A friendly Unit in this Lane unleashed this Turn. Unearth: Copy the 'Unleash' Ability of a friendly Unit in this Lane.,Unleash,4,"E, ?, ?, ?, ?",Uncommon,,,,,,,,,,,
Vengeful Gust,Elemental,2,Spirit,Deploy: Bury a friendly Unit with the lowest Power.,,5,"E, ?",Common,,,,,,,,,,,
Runecursed Wyvern,Elemental,1,Crystalblight? Dragon Wizard,Deploy: Bury a friendly Crystal.,Empty Crystal,6,"E, E, ?, ?",Uncommon,"runecursed wyvern, blind, no eyes, black faceplate, drawing energy from the earth, burning runes etched into its scales",https://alpha.midjourney.com/jobs/304afcfd-7894-408f-9075-b9665b0da9bb?index=1,https://alpha.midjourney.com/jobs/3f700745-93e9-491e-b302-0f3b8129cd3a?index=3,https://alpha.midjourney.com/jobs/efc96ed0-d87b-4d29-bb86-f29795728bf8?index=2,https://alpha.midjourney.com/jobs/b6935539-efed-401f-850a-d485cb53a209?index=2,https://alpha.midjourney.com/jobs/b1f8f3d5-445f-4c75-8c69-dc3c00dd6a2a?index=3,https://alpha.midjourney.com/jobs/b1f8f3d5-445f-4c75-8c69-dc3c00dd6a2a?index=1,,,,
Skulloath Lootclaimer,Elemental,1,Human Hunter,Deploy: Bury a Crystal.,Empty Crystal,4,"E, E, ?, ?, ?",Uncommon,"human mongolian raider, skull-oath, looting, raiding, stealing gold",https://alpha.midjourney.com/jobs/b782234a-ae27-4ab3-a874-11519512ecce?index=1,https://alpha.midjourney.com/jobs/bace0219-18ab-4fad-b1cf-6dd7f636ba09?index=3,https://alpha.midjourney.com/jobs/bace0219-18ab-4fad-b1cf-6dd7f636ba09?index=1,https://alpha.midjourney.com/jobs/48fb748c-ced1-4a11-b902-08569b23ea3e?index=3,https://alpha.midjourney.com/jobs/648f33e0-f155-4776-b3ef-cb6a2da47ad2?index=0,https://alpha.midjourney.com/jobs/88722dbd-81e5-4a88-b7b1-4d119407e4eb?index=2,https://alpha.midjourney.com/jobs/ac379b8f-0976-49e8-9984-afd4fa85d72d?index=2,https://alpha.midjourney.com/jobs/ac379b8f-0976-49e8-9984-afd4fa85d72d?index=0,https://alpha.midjourney.com/jobs/ce81bdef-692d-43ea-9dce-a4b313702bd0?index=2,https://alpha.midjourney.com/jobs/92e4fd9a-ec61-456e-ae1a-ccf89544238d?index=1
Spell Cat,Elemental,1,Animal Wizard,"Whenever a friendly Wizard is deployed adjacently, swap this with that Unit and give that Unit +2 Power.",Even a sorcerer's cold heart can't escape the affection of a black furball.,2,"E, ?",Uncommon,"spell cat, wizard cat sitting infront of a burning bookcase, magical cat, eyes reflecting fire",https://alpha.midjourney.com/jobs/23c28003-cb9d-4252-b47e-eb31b79c4746?index=3,https://alpha.midjourney.com/jobs/c014fa78-9b56-4e92-9380-05f3c1bc63f2?index=3,https://alpha.midjourney.com/jobs/c014fa78-9b56-4e92-9380-05f3c1bc63f2?index=0,https://alpha.midjourney.com/jobs/ea69db27-0094-46a2-957d-df9c6587cd8f?index=1,https://alpha.midjourney.com/jobs/d8a56be5-0fe5-434b-a77a-b6146873ea1a?index=3,https://alpha.midjourney.com/jobs/d8a56be5-0fe5-434b-a77a-b6146873ea1a?index=0,,,,
Vermillion Firebird,Elemental,1,Animal,"When this gets buried, you may bury a friendly Crystal to unearth this.","In its mystical flight, neither blade nor spell can quench its eternal fire.",6,"E, E, E, ?, ?",Uncommon,"vermillion firebird, aflame, on fire",https://alpha.midjourney.com/jobs/855584b6-ff81-449c-bfc8-776b89e2e1b6?index=2,https://alpha.midjourney.com/jobs/855584b6-ff81-449c-bfc8-776b89e2e1b6?index=3,https://alpha.midjourney.com/jobs/8267de13-464b-4475-8b89-635cac0d70bd?index=0,https://alpha.midjourney.com/jobs/855584b6-ff81-449c-bfc8-776b89e2e1b6?index=0,https://alpha.midjourney.com/jobs/ce13cd47-a205-4d28-96b0-bdf906fae89f?index=0,https://alpha.midjourney.com/jobs/a18746cf-975e-483a-9c0c-94c134cf6af2?index=3,https://alpha.midjourney.com/jobs/a18746cf-975e-483a-9c0c-94c134cf6af2?index=1,,,
Oasisdweller,Elemental,1,Dragon Spirit,"Deploy: You may return a friendly Spirit or Warrior to your hand. If you do, draw a Card.",,3,"E, ?, ?, ?",Uncommon,"oasis dweller, giant spirit sand winged gazelle lizard, ephemeral, ghostly, ghastly, phantom, ghost, sandstorm, calm, peaceful, protective spirit, light green",https://alpha.midjourney.com/jobs/64365801-a467-48b5-80fe-b2e14b46c622?index=3,https://alpha.midjourney.com/jobs/edfa0ecc-62fe-4e23-8bad-51f3f37c3e52?index=0,https://alpha.midjourney.com/jobs/90b1ef17-1840-43a4-a96b-9d42245755e5?index=2,https://alpha.midjourney.com/jobs/4529965a-161b-46fc-84ef-11b6aa6505c0?index=1,https://alpha.midjourney.com/jobs/0c3b1178-de16-46bc-a164-f1739f41cd16?index=0,https://alpha.midjourney.com/jobs/ebc002b1-7bb9-479e-a1ce-ea1c8ddf987b?index=1,https://alpha.midjourney.com/jobs/fcedc117-8f07-44fd-9b27-38403dc905eb?index=2,https://alpha.midjourney.com/jobs/fcedc117-8f07-44fd-9b27-38403dc905eb?index=1,https://alpha.midjourney.com/jobs/61c81789-079d-4284-bc11-8f18bf858e7a?index=0,https://alpha.midjourney.com/jobs/54179720-6bdf-4c71-8029-954ac967324e?index=2
Portalrunner,Elemental Mortal,2,Human Wizard,Deploy: You may swap this with another friendly Wizard Unit. Both gain +2 Power.,"Master of spatial rifts, he strides through worlds unseen, his power a dance with the fabric of reality.",3,"E, M, ?, ?",Uncommon,,,,,,,,,,,
Cinderguard Irregulars,Elemental,1,Human Warrior,,"In the ember's glow, hooded rebels rise, defying orders with fire in their eyes.",3,"E, ?",Common,"cinderguard irregulars, heavily tattoed mexican gang members, red hood, ancient bandit",https://alpha.midjourney.com/jobs/9abdcae0-7389-454b-bde3-fb534aec9fa4?index=1,https://alpha.midjourney.com/jobs/21aae87c-bcf0-4967-94c8-66c12bd2dd5f?index=2,https://alpha.midjourney.com/jobs/ff085a28-2be3-400f-b0aa-dfbaad7ad260?index=3,https://alpha.midjourney.com/jobs/7daae98b-96af-490a-abb0-c40d53d449c6?index=1,https://alpha.midjourney.com/jobs/7dd032d6-0ed5-4d3f-926c-322526d5acea?index=3,https://alpha.midjourney.com/jobs/78be4041-6983-4fec-ac2f-158748bc0f07?index=1,https://alpha.midjourney.com/jobs/081fdde2-8231-41d5-aa5c-be3ff2f37b5d?index=2,https://alpha.midjourney.com/jobs/e641b986-4bf2-46ee-bff1-f15abfe257b6?index=0,https://alpha.midjourney.com/jobs/7f7e7244-f70d-4340-bc00-db8ba5869d51?index=0,https://alpha.midjourney.com/jobs/fe6e9b6c-1cca-4a3d-b1ff-7bb7fd6ebc36?index=0
Steelclaw Veterans,Elemental Mortal,2,Dragon Warrior,Conquer: Bury another Unit with the lowest Power in each of these Lanes.,"Clad in scars and armor alike, these dragonborn define the fine line between ferocity and valor.",6,"E, E, M, M, ?, ?",Rare,,,,,,,,,,,
Crazed Hermit,Elemental Nature,2,Human Plant,Deploy: Copy the 'Crystallize' ability of a friendly Crystal.,"A hermit no longer just a man, but a part of the forest's soul, understanding every rustle, every ripple, every breath of the wild.",5,"E, N, N, ?",Uncommon,,,,,,,,,,,
Galeweaver,Elemental,1,Spirit,Deploy: Swap an adjacent friendly Unit with the top Card of your Deck.,"As guardian of the gales, her touch is both a soothing balm and a tempest's fury, a spirit as unpredictable as the wind.",5,"E, E, ?, ?, ?, ?",Rare,"galeweaver, wind spirit, fujin, kazakame, kamaitachi",https://alpha.midjourney.com/jobs/ded5b3c8-a989-40e4-8be3-5ac67cf41736?index=0,https://alpha.midjourney.com/jobs/7f5227db-8efa-4198-aad8-a7303c4834f9?index=0,https://alpha.midjourney.com/jobs/affa39b4-9e17-48c4-8895-78b1f433b9f7?index=0,https://alpha.midjourney.com/jobs/5b8a0ee5-409e-4609-8aba-0c49858830f9?index=3,https://alpha.midjourney.com/jobs/5b8a0ee5-409e-4609-8aba-0c49858830f9?index=0,https://alpha.midjourney.com/jobs/436c6169-6856-4831-9b5e-36c538fafa7c?index=3,https://alpha.midjourney.com/jobs/658a4dd0-bf6d-47e7-86d8-52ee52a8f214?index=2,https://alpha.midjourney.com/jobs/7bb8e808-62d2-41bb-8749-200a9089a3e9?index=2,https://alpha.midjourney.com/jobs/4ccb8031-ae89-47b6-a633-e16eac63166b?index=3,https://alpha.midjourney.com/jobs/7f81eb9e-f062-46de-9105-f93730a4e7fb?index=0
Lurking Canopystomper,Elemental Nature,0,Dinosaur Warrior,"Deploy: If there is no adjacent friendly Unit with 5 or more Power, bury this.",,8,"E, N, ?, ?, ?",Uncommon,,,,,,,,,,,
Resourceful Poacher,Elemental Nature,2,Human Hunter,"Ally of Animal, Dinosaur or Dragon: Return an adjacent Unit to its Owner's Hand and draw a Card.",Dinosaurs,4,"E, E, N, ?, ?",Uncommon,,,,,,,,,,,
Infernoblight,Elemental,1,Dragon Hunter,"Deploy: Gain Fear. Whenever a friendly Dragon Unit is deployed adjacently, gain +1 Power, and draw a Card","In the whispers of night, they speak of Infernoblight, a fiery doom awaiting at time's edge, a scorching conclusion to all stories.",4,"E, E, ?, ?, ?",Rare,"Infernoblight, an ancient evil dragon burning down a roman city, hydra, giant, primeval, majestic",https://alpha.midjourney.com/jobs/33f7cc2c-e93d-4e2c-9b65-000f7fec5b4d?index=3,https://alpha.midjourney.com/jobs/d85c9fc4-fcbf-4427-9461-c7d69924fd22?index=3,https://alpha.midjourney.com/jobs/ded1343a-822d-4000-b96d-307220437a47?index=3,https://alpha.midjourney.com/jobs/7b986382-842d-4894-bfa5-8f3a13c28048?index=2,https://alpha.midjourney.com/jobs/7b986382-842d-4894-bfa5-8f3a13c28048?index=1,https://alpha.midjourney.com/jobs/3ece9766-fbca-4a9f-b43c-ceacdfd34356?index=0,https://alpha.midjourney.com/jobs/23146584-f12d-4df7-9044-bc3fddd5aed1?index=2,https://alpha.midjourney.com/jobs/e7c5e4fe-638b-4178-857e-6623f117ac1e?index=3,https://alpha.midjourney.com/jobs/d1d4e43a-6294-4cca-b9e9-a8a9b7c14773?index=2,https://alpha.midjourney.com/jobs/1b37b6ab-c626-42c3-a564-3b3f1a292370?index=3
The Skyshrieker,Elemental Nature,2,Dinosaur Warrior,Deploy: Gain Fear. You may move an adjacent Unit.,"In times of crisis, his cry pierces the heavens, a sound that spells relief for the endangered and doom for their foes.",5,"E, E, N, ?, ?",Uncommon,,,,,,,,,,,
Mistborn Serpent,Elemental,1,Dragon Spirit,,,3,"E, ?, ?",Common,,,,,,,,,,,
Bringer of Bad Omens,Elemental Void,2,Spirit Wizard,Deploy: Obscure 2. Glimpse 2.,Obscure,0,"E, V",Uncommon,,,,,,,,,,,
Gaunt Visitation,Elemental Void,2,Undead Spirit,Ambush: A Spirit Unit was deployed adjacently this Turn. Unearth: Adjacent friendly Spirit Units gain +2 Power and Fear.,Spirits,3,"E, V, ?, ?, ?",Uncommon,,,,,,,,,,,
Lightning Manticore,Elemental Void,0,Demon Spirit,Ritual: Bury an enemy Crystal.,"It prowls the storm-laden skies, a beast of electric dread, its allegiance as dark as the clouds it rides.",7,"E, E, V, ?, ?, ?",Uncommon,,,,,,,,,,,
Featherfrost Harpy,Elemental,1,Human Spirit,,,4,"E, ?, ?, ?",Common,,,,,,,,,,,
Raging Minotaur,Elemental Void,2,Animal Demon,"Whenever an enemy Unit is deployed adjacently, gain +2 Power. Deploy: Gain Taunt.","Trapped between man and monster, his every step is a thunder of rage against a fate he never chose.",4,"E, V, ?, ?, ?",Uncommon,,,,,,,,,,,
Raijin,Elemental,1,Dragon Spirit,Deploy: Copy the 'Unleash' ability of each Unit.,"Where black clouds gather, his presence is near, the air crackling with the energy of his blue lightning.",7,"E, E, E, ?, ?, ?",Rare,"chinese dragon, ephemeral, made out of steam, cloud being, shapeless, gaseous, lightning, thunderstorm, white pelt, rushing, snakelike",https://alpha.midjourney.com/jobs/1c379fb0-c7fe-4bce-a2e2-c1046dca0a59?index=3,https://alpha.midjourney.com/jobs/1c379fb0-c7fe-4bce-a2e2-c1046dca0a59?index=1,https://alpha.midjourney.com/jobs/1c379fb0-c7fe-4bce-a2e2-c1046dca0a59?index=0,https://alpha.midjourney.com/jobs/032d003e-cfc5-416a-b659-1bdded298c0e?index=1,https://alpha.midjourney.com/jobs/de56f839-6491-46cf-880d-6d928a2517da?index=0,https://alpha.midjourney.com/jobs/83e9cfe5-7b3e-4733-9009-d3e420db215a?index=1,https://alpha.midjourney.com/jobs/5764c6a2-ac2a-45d1-bd44-3056e5b71fde?index=3,https://alpha.midjourney.com/jobs/dabe2c88-7609-4d23-9be4-b6d03f5043ec?index=2,https://alpha.midjourney.com/jobs/22f743bd-9c45-49eb-bcae-584391aba2aa?index=1,https://alpha.midjourney.com/jobs/16ee0dc4-08e6-49e0-be6c-5041c7b5d4f9?index=1
Venomshade Lamia,Elemental Void,2,Animal Warrior,Conquer: Draw Cards until you have as many Cards in Hand as your Opponent.,"In the shadow of her coils, lies a toxic allure, as deadly as it is beguiling.",5,"E, V, ?, ?, ?",Uncommon,,,,,,,,,,,
Volcano Embodiment,Elemental,1,Spirit,,"Born from molten fury, it stands as both creator and destroyer of lands.",5,"E, E, ?, ?",Common,"volcano embodiment, volcano elemental, made of lava and obsidian, dynamic, action shot",https://alpha.midjourney.com/jobs/b3f1d5b4-d271-4bb7-9615-dec247ec2937?index=0,https://alpha.midjourney.com/jobs/13f74e45-15bf-4673-a15e-3672c00526da?index=2,https://alpha.midjourney.com/jobs/710d0cf8-ce38-4aa4-b3f2-876f350c95e5?index=1,https://alpha.midjourney.com/jobs/670cd204-5704-4f12-9125-5eb354177f5f?index=2,https://alpha.midjourney.com/jobs/7ab22aed-daaa-486c-bcb0-51549f984fe3?index=0,https://alpha.midjourney.com/jobs/22bb3e8d-5c52-4c44-8587-02c99977f143?index=0,https://alpha.midjourney.com/jobs/eca24b96-706c-4dc3-98e0-b7e7167890f1?index=1,https://alpha.midjourney.com/jobs/c01595f3-8df5-40fb-ad79-c4ab3f4993bf?index=3,https://alpha.midjourney.com/jobs/c57f1fec-7402-4dfa-a0da-3df1bc5a18a7?index=2,https://alpha.midjourney.com/jobs/89af2c6d-773c-4b37-a02a-c29797ab5507?index=2
Shardhorde Leviathan,Elemental,1,Dragon,,"Rising from oceanic depths, its crystalline form is a monolith of untamed power, a behemoth that knows no bounds.",9,"E, E, E, ?, ?, ?, ?",Common,"shardhorde leviathan, lavender colored, giant gemstone crusted dragon, bellowing, towering mountains, wingless, serpentine, piercing through clouds, foggy",https://alpha.midjourney.com/jobs/f04b4fbf-83ad-4f50-9c3a-68843e69ef11?index=2,https://alpha.midjourney.com/jobs/23732ab2-74d0-4739-baaf-5e6c23e8873a?index=0,https://alpha.midjourney.com/jobs/cb44e85d-870b-4bc6-8948-450c772daf5c?index=0,https://alpha.midjourney.com/jobs/258f8be4-8fc8-47e9-9423-4d7e9f7e209b?index=0,https://alpha.midjourney.com/jobs/97987280-b216-408a-9bcb-dd348cfcb803?index=1,https://alpha.midjourney.com/jobs/736a8fe4-c031-4266-a180-8d5fa8d7a20c?index=3,https://alpha.midjourney.com/jobs/f4364281-c341-4325-823b-cc159f62e3fa?index=3,https://alpha.midjourney.com/jobs/f4364281-c341-4325-823b-cc159f62e3fa?index=1,https://alpha.midjourney.com/jobs/3ffc8199-7676-44a0-b357-0e6a826b2531?index=1,https://alpha.midjourney.com/jobs/c0768680-bd4c-4545-846f-002afd6a854b?index=0
Tectonic Shifter,Elemental,1,Demon Dinosaur,Deploy: Gain Fear. Return an adjacent Unit to its Owner's Hand.,Bounce,3,"E, E, ?, ?, ?",Rare,"tectonic shifter, groudon",https://alpha.midjourney.com/jobs/04e07353-17ab-4846-84bc-818bc402f09d?index=1,https://alpha.midjourney.com/jobs/e8e96f76-94bd-41ae-b1bd-4ca96aebdd1e?index=3,https://alpha.midjourney.com/jobs/ee08debf-6dfa-4c1a-b68d-af2815e27ecd?index=0,https://alpha.midjourney.com/jobs/a5b23374-c9e0-4cc3-ac9e-7cc693ab07b6?index=1,https://alpha.midjourney.com/jobs/da48772a-b4d4-44f8-8d55-428c4b7750df?index=1,,,,,
Bastion Architect,Mortal,2,Human,"Deploy: A friendly Construct Unit in this Lane gains Ward, Taunt, and +2 Power.","From his mind, mighty bastions rise and formidable siege engines emerge, playing both sides of war's relentless dance.",2,"M, ?, ?",Uncommon,,,,,,,,,,,
Drägen,Elemental,1,Dragon,Deploy: ,,,,Rare,,,,,,,,,,,
Mega Ultra Chicken,Elemental,1,Dragon,,,,,Rare,,,,,,,,,,,
Blue Crusader,Mortal,2,Warrior,"Whenever an enemy non-Mortal Unit is deployed adjacently, gain +1 Power.",Crusader,2,"M, ?",Common,,,,,,,,,,,
Venom-Dew,Elemental,1,Insect Spirit,Conquer: You may deploy a friendly Insect Crystal.,,3,"E, ?, ?",Rare,,,,,,,,,,,
Golemsaurus,Elemental,1,Dinosaur Construct,,,2,E,Common,,,,,,,,,,,
Slumbering Cavedrake,Elemental,1,Dragon,Ambush: Condition. Unearth: Gain Fear and +3 Power.,,1,"E, E",Common,,,,,,,,,,,
Eagle of the Legion,Mortal,2,Animal Human,Start of your Turn: A friendly Human Unit gains Fear or Taunt.,"""See her soar above the battle? That's not just any bird – that's ours, that is. And as long as she's flying, we're winning.""",4,"M, M, ?, ?, ?",Rare,,,,,,,,,,,
Dragon Rider,Elemental Mortal,1,Human Dragon,Deploy: Copy the Ability of an adjacent Dragon Unit or Human Unit.,"Together, they redefine the possible, her spirit and his fire entwined in flight.",2,"E, M, ?, ?",Uncommon,"female dragon rider, red sash, asian medieval pirate, sitting on a saddle, huge chinese dragon crane",https://alpha.midjourney.com/jobs/f29821d3-a78b-46a9-ab7b-9b476d6ecfd7?index=1,https://alpha.midjourney.com/jobs/7f15e033-4d9d-48a2-9a39-7197c3b9bf07?index=3,https://alpha.midjourney.com/jobs/a6b8108d-1bb5-42d2-a7a0-28095eb3d2c2?index=2,https://alpha.midjourney.com/jobs/60403217-9653-4c7f-8bd1-52389abddd0b?index=2,https://alpha.midjourney.com/jobs/35a72dcd-bf6d-4211-a3ec-b4a56e9266de?index=3,https://alpha.midjourney.com/jobs/64811c7a-9306-4518-8d43-b94ca602125b?index=2,https://alpha.midjourney.com/jobs/4f36ce57-0d46-485b-824d-f5324b716d84?index=1,https://alpha.midjourney.com/jobs/b7fa891c-92aa-4309-9f37-1140cd8df7b3?index=2,https://alpha.midjourney.com/jobs/64a2413c-9261-4124-ba7d-e64c2319aae0?index=0,https://alpha.midjourney.com/jobs/95d4bd24-c3f9-417f-be00-e2b02341a172?index=0
Starfall Shaman,Elemental Mortal,1,Human Wizard,Ritual: Glimpse 2 and draw 2 Cards. ,"Guided by ancient constellations, he beckons knowledge from the heavens, a nod to the legendary magic of old.",5,"E, E, M, ?, ?",Rare,"starfall shaman, aztec, mesoamerican, summoning a meteor, on an aztec pyramid, purple, colorful feather headdress",https://alpha.midjourney.com/jobs/0d462342-adfb-4bc1-8852-2f568fbc9684?index=2,https://alpha.midjourney.com/jobs/eb6b6ed8-09d8-4cb7-8e72-89daeeb5ad45?index=1,https://alpha.midjourney.com/jobs/0bfb1ddb-5317-44ca-ac28-18bec4484bb2?index=2,https://alpha.midjourney.com/jobs/fc65d230-0b7a-4bbd-9653-6fa105e5bcec?index=3,https://alpha.midjourney.com/jobs/48703433-d069-4669-a233-4fb736b88afa?index=2,https://alpha.midjourney.com/jobs/48703433-d069-4669-a233-4fb736b88afa?index=0,https://alpha.midjourney.com/jobs/3500932c-0e0c-496e-8393-7f54603731c9?index=3,https://alpha.midjourney.com/jobs/888400b6-fc24-4382-9b4f-cb536d1c6259?index=2,,
Gem Merchant,Mortal,2,Human,Ambush: A Unit was deployed in this Lane this Turn. Unearth: Another friendly Unit in this Lane gains +2 Power.,Remote,2,"M, M, ?, ?",Uncommon,,,,,,,,,,,
Gladehost Shotmaster,Mortal,2,Human Hunter,Crystallize: Unleash <N><N>: Bury an enemy Unit adjacent to a friendly Hunter.,"In her hands, the bow is not just a weapon, but an extension of the forest's will, precise and deadly.",4,"M, M, ?, ?",Uncommon,,,,,,,,,,,
Cinderguard Flamebearer,Elemental Mortal,1,Bannerbearer Human Warrior,,"Armed with a blade of searing flame, his every strike ignites the battleground, a beacon of fiery determination.",2,"E, M",Common,"cinderguard emberblade, red hood roman, banner-bearer, bannerbearer, banner bearer, carrying a banner",https://alpha.midjourney.com/jobs/ad69563e-8c74-41b0-8e13-8b39afa3b3cf?index=3,https://alpha.midjourney.com/jobs/ce3cd5be-146d-4747-a725-96d02fce6988?index=3,https://alpha.midjourney.com/jobs/e1308eb5-a0fa-420c-983e-4f03c2e8e1b1?index=3,https://alpha.midjourney.com/jobs/0c8ecc9c-0eba-4e1f-88ef-eb8a6b5bb902?index=0,https://alpha.midjourney.com/jobs/915e002d-0994-4e3b-9b5b-10849e3c35ad?index=2,https://alpha.midjourney.com/jobs/eea88919-f1b3-40c0-9f43-d0e3f3705e14?index=2,https://alpha.midjourney.com/jobs/727e14da-bc4a-4671-9e13-4f06e7007152?index=0,https://alpha.midjourney.com/jobs/24410310-250b-4dfc-957c-f04fe0d1851b?index=0,https://alpha.midjourney.com/jobs/49af1a65-37b2-43e7-abfb-fec1ef5ae6d3?index=2,https://alpha.midjourney.com/jobs/c49fa673-bcd1-49dc-a65d-b262aa8d349c?index=3
Tidecrasher,Elemental Nature,1,Dragon Spirit,Deploy: Gain Fear and +1 Power for each adjacent empty Slot.,"He glides beneath the waves, a leviathan of legend, the subject of sailors' prayers and tales.",5,"E, E, N, ?, ?",Uncommon,"tidecrasher, sea serpent made of water, sea-slug, seafoam green, boiling sea, serpent made out of water",https://alpha.midjourney.com/jobs/b85e9529-2c1c-43be-8887-f8653d2daa3e?index=1,https://alpha.midjourney.com/jobs/cbc1003a-54e1-4023-a949-d6248d86958a?index=1,https://alpha.midjourney.com/jobs/14907b72-ac7b-441a-89c1-206aa74ae3cc?index=3,https://alpha.midjourney.com/jobs/da05031f-b161-4dbf-82ed-34f56ec60f8b?index=3,https://alpha.midjourney.com/jobs/da05031f-b161-4dbf-82ed-34f56ec60f8b?index=0,https://alpha.midjourney.com/jobs/36f45aba-7dd3-4234-a291-4a6bd6317f10?index=2,https://alpha.midjourney.com/jobs/36f45aba-7dd3-4234-a291-4a6bd6317f10?index=0,https://alpha.midjourney.com/jobs/cb5ae9cc-bb0c-4b23-93f2-9aba3eead611?index=0,https://alpha.midjourney.com/jobs/5346acfb-9c48-4258-a97e-45266d64b6d2?index=3,https://alpha.midjourney.com/jobs/89be5e2a-6702-40e7-bb2c-87dce748f051?index=0
Imperial Tyrant,Mortal,2,Human,"Crystallize, Deploy and Conquer: Draw a Card if you are leading in Lanes.",Lead,3,"M, ?",Rare,,,,,,,,,,,
Eons-old Dragon,Elemental Nature,1,Dragon Plant,Deploy: All other Elemental Unit and Nature Units in this Lane gain +3 Power.,"In its slumber, time weaved the wilderness around it, a dragon as ancient as the forest it now embodies.",6,"E, E, N, N, ?, ?",Rare,"dragon dryad, forest dragon, pale red and pale green, blind pale scales, massively scarred, eons old, wise, gentle, venerable, ancient, resting on a mountain",https://alpha.midjourney.com/jobs/ade40824-39ca-4001-a6f9-b17abaa7f8c9?index=2,https://alpha.midjourney.com/jobs/237069bf-4281-4ab7-875e-331a4121cc5c?index=2,https://alpha.midjourney.com/jobs/b817370e-a391-4a6b-9688-f381c88b69b0?index=2,https://alpha.midjourney.com/jobs/1147f4d1-0ebc-4af6-a726-d02c68d60b73?index=0,https://alpha.midjourney.com/jobs/1147f4d1-0ebc-4af6-a726-d02c68d60b73?index=2,https://alpha.midjourney.com/jobs/aad8229e-1d42-48dd-8179-36ff489b78e3?index=2,https://alpha.midjourney.com/jobs/01a4f043-f235-41b9-8d46-7b35d6f18030?index=2,https://alpha.midjourney.com/jobs/c0cf7df8-c1a5-454a-bfd0-19b8243d58cc?index=1,https://alpha.midjourney.com/jobs/16ae4b70-d224-42db-b6b6-ecf2124ed295?index=0,https://alpha.midjourney.com/jobs/4623ba22-8900-4ec0-baf7-811a3eacf3be?index=1
Shardhorde Crystalfang,Elemental Nature,1,Animal Bannerbearer Hunter,,"Emerging from the heart of the earth, its malachite form gleams, a predator sculpted from nature's deepest treasures.",2,"E, N",Common,"green crystal sabretooth-tiger, made of crystals, prowling through jungle, magical, banner bearer, banner strapped to its back",https://alpha.midjourney.com/jobs/16b422f4-9fd2-4bb1-9674-585e0409a383?index=3,https://alpha.midjourney.com/jobs/ce917096-e668-418b-8741-693ddbec1b5e?index=3,https://alpha.midjourney.com/jobs/dce6223e-4d4d-4a94-b8ed-94d249a1b876?index=2,https://alpha.midjourney.com/jobs/993d4901-e479-4c23-8e37-374cc886632f?index=0,https://alpha.midjourney.com/jobs/44b8a171-093e-48a9-b7dd-0eb68cf31160?index=0,https://alpha.midjourney.com/jobs/c6262938-a0bb-4c14-a59f-2cd741aebb5d?index=2,https://alpha.midjourney.com/jobs/2d36ed03-9eb8-4873-a6b6-490fa41bd145?index=2,https://alpha.midjourney.com/jobs/64fe4f62-cd24-4b28-8008-3a9184077878?index=1,,
Legion of the Moonspear,Mortal,2,Spirit Warrior,"Deploy: If you are leading in Units, deploy a friendly Warrior Crystal.","Each step echoes their oath, each breath a testament to their unyielding resolve in the face of darkness.",3,"M, ?, ?",Uncommon,,,,,,,,,,,
Makeshift Militia,Mortal,2,Human Warrior,"Whenever a friendly Common Unit is deployed adjacently, give it +1 Power.","From farmers to fools, all stand together when peril knocks.",2,M,Common,,,,,,,,,,,
Master Strategist,Mortal,2,Human Hunter,Conquer: Obscure for each friendly Unit in the conquered Lane.,Obscure,4,"M, ?, ?, ?, ?",Uncommon,,,,,,,,,,,
Moonspear Wraithknight,Mortal,2,Spirit Warrior,"Crystallize: This Turn, if you conquered a Lane, you may deploy this.","No longer a man, but a phantom of duty, he haunts the battlefield, eternally loyal to his chapter's cause.",4,"M, ?, ?, ?, ?",Uncommon,,,,,,,,,,,
Mountblade Squire,Mortal,2,Human,Conquer: Gain +3 Power.,???,1,M,Common,,,,,,,,,,,
